Deptartment,Cleaned_skill_list
Devops,"[‘Terraform’,’Docker’, ‘kubernetes’, ‘AWS’, ‘Azure’,’Git’, ‘SVN’, ‘codecommit’, ‘Codebuilt’, ‘maven’, ‘jenkins’, ‘Apache Tomcat’, ‘shell scripting’, ‘linux’, ‘grafana’, ‘selenium’, ‘jenkins’,’gcp’,’google cloud platform’,’pagerduty’]"
Devops,"[‘docker’, ‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘Ansible’, ‘bash’, ‘Datadog’, ‘cloud']"
Devops,"[‘docker’, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘ci/cd’, ‘jenkins’, ‘pagerduty’]"
Devops,"[‘docker’, ‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘selenium’, ‘cloud']"
Devops,"[‘docker’kubrnetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘bash’, ‘jenkins’]"
Devops,"[‘docker’, ‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘Ansible’, ‘ci/cd’]"
Devops,"[‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘Google Cloud Platform’]"
Devops,"[‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘Ansible’, ‘Google Cloud Platform’, ‘jenkins’, ‘selenium’]"
Devops,"[ ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘Google Cloud Platform’, ‘cloud']"
Devops,"[‘docker’, ‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘Selenium’, ‘PagerDuty’,’grafana’, ‘cloud']"
Devops,"[‘docker’, ‘kubernetes, ‘aws’, ‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘chef’, ‘jenkins’, ‘Prometheus’]"
Devops,"[‘azure’, ‘git’, ‘linux’,’shell scripting’, ‘ansible’, ‘Selenium’, ‘grafana’]"
Java,"[‘java’, ‘maven’, ‘OOPs’, ‘Design Patterns’, ‘Interface’, ‘Serialization’, ‘Hibernate’, ‘OpenJPA’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘docker’, ‘mysql’, ‘sql’, ‘postgresql’, ‘mongodb']"
Java,"[‘java’, ‘maven’, ‘gradle’, ‘spring mvc’, ‘play’, ‘junit’, ‘TestNG’, ‘Selenium’, ‘design patterns’, ‘JBoss’, ‘Jetty’, ‘OOPs’, ‘Design Patterns’, ‘Interface’, ‘Serialization’, 'SpringMVC’, ‘Play’, ‘Java Server Faces’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘kafka']"
Java,"[‘java’, ‘maven’, ‘OOPs’, ‘Design Patterns’, ‘Interface’, ‘Serialization’, ‘Hibernate’, ‘OpenJPA’, ‘docker’, ‘sql', ‘rest’,’apis’,’ap']"
Java,"[‘java’, ‘maven’, ‘Hibernate’, ‘OpenJPA’, 'SpringMVC’, ‘Play’, ‘Java Server Faces’]"
