Department,Skills
Scala Lead,Access Mysql Real-time Apis Coaching Architecture Telecom Computer science Pl/sql Unix Technical Information technology Rest Scala Communication System Jira Testing Xml Certification Sql server Technical issues Web services Js Aws Operations Javascript Sql Requests Soap Jsp Analysis Reporting Pattern Html Json Python Troubleshooting Hive Spark Design Linux Css Cloud Api Oracle Java Windows Research
Scala Lead,Mysql Publishing Architecture Hadoop Coding Data analysis Analytics Scala System Testing Sql Strategy Analysis Pattern Python Database Troubleshooting Spark Design Cloud Process
Scala Lead,Ecommerce Scheduling Telecom Coding Analytics English Docker Technical Scala Communication Teaching Ai Adobe Mobile Android Data analytics Ui Javascript Programming Analysis Segmentation Marketing Hive Spark Design Linux Information technology Java
Scala Lead,Pyspark Mysql Presentation Ecommerce Apis Documentation Administration Automation Hadoop Email Crm Etl Sdlc Coding E-commerce Data analysis Analytics Nosql Workflows Rest Scala Sales Process improvements System Php Jira Xml Plan Modeling Web services Data analytics Ui Javascript Cms Sql Html5 Analysis Warehouse Python Postgresql Html Json Database Hive Construction Spark Usability Design Linux Css Api Windows Erp Process
Scala Lead,Pyspark Tableau Scrum Ansible Presentation Db2 Scheduling Content Automation Workflow Hbase Hadoop Coding Payroll Big data Technical Procurement Analytical End user Scala Agile System Testing Certification Training Banking Facebook Retail Aws Operations Sql Twitter Migration Requests Analysis Engineering Reporting Python Vmware Database Marketing Hive Construction Spark Design Cloud Orange Api
Scala Lead,Mysql Debugging Documentation Computer applications Architecture Email Coding English Docker Technical Rest Scala System Testing Jira Banking Retail Config Aws Js Javascript Conversion Ibm Sql Soap Jsp Database Mock Usability Design Css Api Java Process
Scala Lead,Access Mysql Writing Publishing Product development English Docker Information technology Rest Scala Agile Sap System Testing Web services Retail Js Aws Ibm Sql Requests Soap Programming Analysis Engineering Reporting Reports Cloud Click Api Oracle Java Process
Scala Lead,Mysql Hospital Scheduling Administration Writing Software development life cycle Hadoop Purchasing Etl Coding Payments Healthcare Payroll Analyze Technical Analytical Scala Communication Agile Pharmacy System Jira Health C Inventory Accounting Plan Sql server Business analysis Queries Billing Sql Ubuntu Analysis Reporting General ledger Database Hive Spark Shell Design Reports Technical skills Cloud Business stakeholders Specifications Java Process
Scala Lead,Access Algorithms Travel Writing Machine learning Hbase Hadoop Zookeeper Coding Technical Brand Scala Sales Ai System Testing Servers Web services Ui Aws Sql Visual Hotel Soap Programming Jsp Pattern Json Database Marketing Hive Spark Design Technical skills Cloud Oracle Java
Scala Lead,Mysql Electrical Algorithms Os Automation Hadoop Email Etl Mis Unix English Technical Scala Scripting Industry experience Sales System Mobile Sql Migration Programming Warehouse Analysis Reporting Excel Json Database Hive Spark Shell Design Linux Oracle Java Process
Scala Lead,Mysql Improvement Os Writing Publishing Architecture Hadoop Computer science Etl Coding Big data Docker Analyze Technical Rest Scala Agile Communication Jira Testing Banking Continuous improvement Javascript Programming Analysis Engineering Database Spark Design Linux Mvp Java Windows
Scala Lead,Sports Db2 Apis Publishing Transportation Architecture Hadoop Docker Fulfillment Scala System Aws Conversion Programming Warehouse Analysis Engineering Newspaper Marketing Hive Spark Design Datasets Transactions Windows
DB Developers & Leads,Presentation Debugging Cement Documentation Scheduling Email Computer science Etl Sdlc Coding Pl/sql Unix English Technical Analytical Communication Agile Scripting Tax System C Sql server Banking Queries Sql Migration Contracts Engineering Proposal Database Shell Reports Linux Technical skills Oracle Windows Profiling
DB Developers & Leads,Mysql R Economics Queries P Reports Analytical Sql Mathematics Visual Reporting Sql server Warehouse Analysis C Etl
DB Developers & Leads,Mysql Electronics Architecture Security Email Crm Pl/sql English Technical Analytical System C Sql Jsp Html Database Design Oracle Java Erp
DB Developers & Leads,Database Presentations Queries Technical Design Sql Analytical Writing Communication Networking Reporting Admissions Telecom Sql server P
Scrum Master,Specifications Scrum R Presentation Improvement Documentation Coaching Selenium Test cases Technical Communication Agile System Mobile Jira Testing C P Training Sql Strategy Migration Troubleshooting Design Business stakeholders Customer requirements Compliance Process
Scrum Master,.net Scrum Schedule User stories Documentation Application support Matrix Coaching Transportation Architecture Software development life cycle Sdlc Test cases Technical Communication Agile System Jira Testing Health Sql server Training Plan Installation Transport Project management Sql Visual Requests Strategy Customer service Analysis Time management Investigation Troubleshooting Project plan Logging Design Reports Windows Erp Process
Scrum Master,Scrum Improvement Updates Documentation Computer applications Automation Coaching Negotiation English Retention Communication Agile Process improvements System Jira Training Auditing Metrics Reporting Engineering Reports Compliance Process
Scrum Master,Scrum Improvement Updates Administration Automation Sharepoint Email Data analysis Technical Analytical Agile Process improvements System Certification Training Continuous improvement Operations Queries Billing Sql Excel Analysis Reports Lean Compliance Research Process
Scrum Master,Scrum User stories Lifecycle Electronics Telecom Email Crm Hp alm Technical Agile Budget Sap System Testing Jira Certification Plan Sql Engagement Excel Analysis Reporting Product owner Marketing Test plans Process
Scrum Master,Scrum Improvement Schedule Electrical Vendors Travel Writing Coaching Automation Lifecycle Architecture Negotiation Technical Communication Agile Mobile Testing Saas Training Plan Android Supervising Installation Operations Javascript Sql Metrics Circuits Startup Engineering Product owner Html Python Database Construction Tfs Design Reports Complex projects Css Specifications Process
Scrum Master,Access Scrum R Compliance Fda Ordering Documentation Sharepoint Word Travel Microsoft office suite Electronics Security Project management skills Microsoft sharepoint Ms excel Analytics Communication Agile Budget Ai System Mobile Health Pdf C P Training Testing Plan Inventory Sql server Operations Sql Github Schedules Excel Risk management Engineering Html Partnership Tfs Spreadsheets Cloud Css Safety Java Process
Scrum Master,Scrum Apis Sourcing Email Docker Rest Communication Agile System Jira Xml Banking Web services Retail Visual Github Engineering Html Json Design Css Lean
Scrum Master,Scrum R Improvement Algorithms User stories Automation Writing Coaching Matrix Green Selenium Email Product management Payments Negotiation Payroll Healthcare Technical Rest Communication Agile Budget System Mobile Testing Banking Modeling Ui Js Retail Operations Talent management Schedules Programming Analysis Pattern Engineering Reporting Product owner Python Html Finance Design Technical skills Mvp Ux Business stakeholders Transactions Lean Java Process
Scrum Master,Scrum User stories Sdlc Product management Presentations Analyze Agile Project delivery Ai Testing C Wireframing Talent management Engineering Finance Design Reports Css Research
Scrum Master,Scrum Schedule Improvement Sports Mouse User stories Product development Product management English Presentations Technical Agile Sales System Mobile Testing Jira Forecasts Market research Training Plan Banking Grab Technical issues Retail Installation Operations Money Requests Engagement Metrics Mortgage Analysis Engineering Marketing Project plan Design Reports Specifications Research Process
Scrum Master,Access Scrum Improvement Ios Schedule Mysql Hospital Ecommerce Sports Budgeting Life cycle User stories Content Coaching Lifecycle C# Sdlc Payments Analytics Website Analyze Technical Communication Agile System Php Health Mobile C Xml Training Plan Testing Android Jira P Sql server Web services Js Aws Operations Javascript Sql Visual Video Prototype Audio Audit Html5 Reporting Process Html Json Interactive Swift Design Reports Css Clint Api Java Windows International
Scrum Master,Access Scrum Improvement Ios Updates Ecommerce Documentation Workflow Telecom Email Sdlc Relationship building Test cases Data analysis Quality assurance Hotels Technical Communication Agile Budget System Mobile Jira Training Android Facebook Ui Hospitality Requests Schedules Risk management Analysis Time management Invoices Segmentation Interactive Microsoft office Database Mock Prototyping Design Reports Ux Process
Scrum Master,Scrum Ios Iphone Objective-c Api Email E-commerce Tv Technical Agile Ai Mobile Jira C Certification Inventory Android Js Aws Javascript Tensorflow Visual Github Audio Programming Warehouse Product owner Html Json Swift Networking Java Research
Scrum Master,Business development Scrum Presentation Forecasting Cad Documentation Vendors Word Matrix Ms excel Negotiation English Retention Technical Powerpoint Analytical Communication Agile Sales Jira Operations Revenue growth Sketch Excel Analysis Design Networking Specifications Process
Scrum Master,Scrum Electronics Email Sdlc English Technical Brand Agile Project delivery Mobile Jira Testing C Certification Training Business analysis Strategy Analysis Specifications Project management Process
Scrum Master,Scrum Improvement User stories Scheduling Policies Workflow Sdlc Sops Workflows Agile Commissioning Jira Training Iso Microsoft visio Operations Ibm Itil Audit Analysis Engineering Visio Reports Cloud Compliance Process
Scrum Master,Scrum Improvement Presentation Sharepoint Email English Underwriting Communication System Health Jira Plan Consulting Queries Quality management Metrics Mortgage Analysis Reporting Tfs Reports Safety Windows Process
Scrum Master,Access Scrum User stories Documentation Sdlc English Website Pmp Agile Communication Sap Sales Jira Testing Aws Ibm Requests Sql Excel Startup Engineering Reporting Product owner Python Html Design Cloud Java Process
Scrum Master,Scrum Improvement Ios User stories Architecture English Unix Website Fulfillment Analytical Rest Agile Oracle System Mobile Jira Testing Certification Training Ui Continuous improvement Javascript Schedules Soap Programming Analysis Engineering Product owner Html Design Css Api Compliance Java
Scrum Master,Improvement Scrum Schedule Electrical Documentation Electronics Architecture Email C++ English Hardware Technical Agile System C Accounting Plan Schedules Database Ux Project management Process
Scrum Master,Scrum Improvement User stories Administration Policies Writing Application support Email Crm Sdlc English Agile Dhcp Mobile Jira Plan Dns Consulting Github Programming Reporting Product owner Tfs Java Windows
Scrum Master,Improvement Scrum Negotiation Inventory Jira Coaching Communication Agile Budget Project management Testing Telecom Process
Scrum Master,Scrum Improvement Schedule Updates Documentation Scheduling Content Policies Lifecycle Workflow Recruiting English Website Communication Budget System Php Testing Training Plan Recruitment Wordpress Continuous improvement Operations Cms Schedules Startup Analysis Invoicing Database Marketing Reports
Scrum Master,Access Scrum Scheduling Word Sharepoint Coaching Lifecycle Workflow International Sdlc Analyze Technical Powerpoint Gap analysis Analytical Agile Sap System Testing Jira Certification Training Stakeholder management Analytical skills Excel Analysis Html Troubleshooting Design Reports Css Lean Java Project management Process
QA Profiles - Nov 2021,Access Mysql Scrum Debugging User stories Os Automation Writing Lifecycle Selenium Software development life cycle Sdlc Hp alm Payments Test cases Unix English Agile System Jira Testing Sql server Plan Banking Ui Sql Money Strategy Programming Engineering Analysis Test case Database Finance Design Reports Linux Transactions Api Specifications Java Windows Process
QA Profiles - Nov 2021,Specifications Scrum Compliance Automation Writing Selenium Acquisitions Telecom Crm Test cases Unix English Technical Agile Sales System Jira Testing Sql server Plan Banking Operations Queries Billing Sql Customer service Programming Analysis Engineering Reporting Product owner Test case Database Finance Marketing Design Linux Transactions Oracle Java Windows Erp Research Process
QA Profiles - Nov 2021,
QA Profiles - Nov 2021,Apis Automation Electronics Selenium English Technical Agile Sales System Jira Testing Sql Github Excel Programming Reporting Test case Reports Api Java Windows
QA Profiles - Nov 2021,Scrum Debugging Documentation Automation Writing Selenium Email Sdlc Test cases English Technical Analytical Communication Scripting Agile Industry experience System Mobile Testing Jira Health Plan Banking Retail Javascript Queries Sql Programming Reporting Html Database Design Reports Api Specifications Java Windows Process
QA Profiles - Nov 2021,Sdlc Scrum English Technical Automation Usability Design Writing Software development life cycle Agile Electronics Testing Selenium Magic Java Reporting Mobile Jira
QA Profiles - Nov 2021,Tableau Scrum Db2 Automation Writing Sharepoint Architecture Selenium German Software development life cycle Email Sdlc Technical Communication Agile System Mobile Jira Health Testing Plan Banking Queries Ibm Sql Programming Analysis Database Logging Java Windows Process
QA Profiles - Nov 2021,Scrum Excel Database Test cases Docker Aws Documentation Automation Reports Agile Api Selenium Java Project management Testing Email Process
QA Profiles - Nov 2021,Specifications Ios Automation Writing Lifecycle Client services Risk assessments Workflow Security Selenium C++ Sdlc Healthcare Analyze Technical Robot Rest Scripting Sales System Mobile Testing Jira C Requests Github Sql Reporting Analysis Test case Technical skills Reports Linux Cloud Api Oracle Java Windows Process
QA Profiles - Nov 2021,Iso Test cases English Hardware Documentation Technical Linux Communication Windows Assembly Engineering C++ Testing Java C
QA Profiles - Nov 2021,Scrum Schedule Filing Updates Debugging Automation Writing Word Lifecycle Architecture Selenium Software development life cycle Email Telecom Crm Sdlc Test cases Unix English Data quality Analyze Technical Powerpoint Rest Communication Agile Sales System Mobile Jira Testing Plan Banking Ui Retail Operations Billing Sql Github Video Metrics Strategy Programming Excel Analysis Reporting Database Marketing Design Reports Management experience Transactions Api Oracle Java Windows Test plans Process
QA Profiles - Nov 2021,Scrum Automation Matrix Writing Architecture Selenium Acquisitions Software development life cycle Telecom Crm Sdlc Hp alm Test cases Unix English Data quality Analyze Technical Rest Communication Agile Sales Financing System Testing Jira Sql server Banking Web services Ui Billing Sql Soap Reporting Analysis Outsourcing Test case Database Marketing Linux Customer requirements Transactions Api Java Windows International
QA Profiles - Nov 2021,Scrum Apis Automation Writing Selenium Email Test cases English Analyze Scripting Agile System Mobile Testing P Plan Ui Soap Reporting Pattern Engineering Html Database Api Specifications Java
QA Profiles - Nov 2021,Documentation Automation Publishing Selenium Email Crm C++ Sdlc Test cases Payroll Technical Communication Tax System Mobile Testing Jira C Consulting Ui Sql Analysis Pattern Html Interactive Design Reports Api Oracle Java Windows Process
QA Profiles - Nov 2021,Ios Electrical Automation Vb script Lifecycle Electronics Selenium Crm Tax Agile Mobile Jira Testing Saas Android Cms Reporting Engineering Test case Design Java International
QA Profiles - Nov 2021,Scrum Ui Debugging Procurement Automation Usability Sql Technical Oracle Visual Jira Api Selenium Java Mobile Testing Computer science Certification
QA Profiles - Nov 2021,Automation Selenium Test cases Rest Communication Agile System Drafting Jira Testing Training Banking Operations Sql Salesforce Finance Reports Api Java
QA Profiles - Nov 2021,Scrum Life cycle Apis Automation Writing Workflow Selenium International Telecom Crm Sdlc Test cases Unix English Rest Communication Agile Scripting Sales System Mobile Testing Jira Plan Banking Ui Retail Queries Billing Sql Migration Soap Programming Analysis Engineering Database Troubleshooting Asset management Design Shell Cloud Api Java Windows Research Process
QA Profiles - Nov 2021,Specifications Documentation Automation Implicit Lifecycle Selenium Telecom Email Sdlc Test cases Unix English Technical Communication Agile System Testing Banking Ui Billing Sql Github Soap Programming Analysis Engineering Reporting Database Design Technical skills Css Api Oracle Java Windows Process
Informatica - Onsite,Access Db2 Real-time Writing Purchasing Analytics Data quality Hardware Workflows Technical Scala Sap C Javascript Queries Migration Statistics Soap Reporting Database Marketing Api C++ Unix Payroll Scripting Installation Operations Billing Strategy Salesforce Html Troubleshooting Shell Reports Specifications Presentation Debugging Administration Travel Policies Scheduling Apex Architecture Security Workflow Hbase Telecom Analyze Cisco Rest Communication Testing Plan Web services Aws Conversion Sql Visual Schedules Mortgage Analysis Engineering Python Finance Cloud Profiling Chemicals Updates Vendors Automation Hadoop Email Etl Coding Business intelligence Analytical Tax System Health Xml Sql server Accounting Banking Blaze Warehouse Hive Spark Design Css Oracle Java Windows Process
Informatica - Onsite,Specifications Business systems Documentation Architecture Telecom Computer science Etl Payments Unix Analytics Analyze Technical Information technology Communication Sap Sales System Testing Inventory Training Modeling Operations Javascript Queries Ibm Sql Requests Governance Reporting Salesforce Html Database Design Reports Linux Cloud Css Api Oracle Windows Process
Informatica - Onsite,Access Db2 Algorithms Writing Lifecycle Reconciliation Pl/sql Analytics Test cases Workflows Technical Sas Scala Sap C Modeling Taskflow Controls Javascript Queries Migration Metrics Soap Reporting Database Responses Visio Api Test plans C++ Unix Payroll Parser Scripting Requests Github Salesforce Html Bottle Troubleshooting Shell Reports Specifications Debugging Documentation Administration Policies Scheduling Workflow Security Analyze Rest Testing Web services Aws Conversion Sql Schedules Audit Excel Analysis Python Json Cloud Transactions Profiling Schedule Apis Vendors Content Peoplesoft Email Etl Sdlc System Xml Sql server Ibm Licensing Warehouse Pattern Logging Design Linux Css Oracle Java Windows Process
Devops-noida profiles,Automation Security International Telecom Email Unix English Docker Technical Mobile Testing Jira Certification Web services Ui Installation Billing Github Soap Linux Cloud Oracle Process
Devops-noida profiles,Access Mysql Ansible Schedule Automation Writing Content Policies Unix Docker Technical Analytical Communication Agile Scripting System Mobile Testing Servers Certification Consulting Controls Industry trends Aws Requests Metrics Engineering Analysis Python Benchmarking Troubleshooting Design Shell Linux Counsel Cloud Technical skills Oracle Java Windows Process
Devops-noida profiles,Access Operating systems Ansible Sports Debugging Administration Writing Security Docker Technical Scripting Commissioning System Servers C Yaml Installation Aws Operations Try Python Database Troubleshooting Shell Linux Cloud Java Process
Devops-noida profiles,Scrum Ansible Administration Automation Writing Security Email Sdlc Unix Docker Analyze Technical Scripting Agile System Mobile Jira Testing Aws Github Ubuntu Troubleshooting Shell Technical skills Linux Cloud Networking Java Windows Process
Devops-noida profiles,Ansible Business systems Automation Writing Email Computer science English Docker Networking Technical End user Communication Agile System Aws Engineering Marketing Design Technical skills Linux Cloud Api Windows
Devops-noida profiles,Software engineering Scrum Ansible Presentation Debugging Os Automation Writing Software development life cycle C++ Sdlc Coding Unix Docker Technical Scripting Agile Communication System Mobile Testing Servers C Yaml Installation Aws Transport Ibm Sql Github Programming Engineering Protocols Python Standardization Shell Design Linux Technical skills Cloud Windows Process
